URL: /
Timestamp: Mon Jul 18 2022 14:16:44 GMT-0400 (Eastern Daylight Time)

URL: /documentation.html
Timestamp: Mon Jul 18 2022 15:20:22 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Mon Jul 18 2022 15:20:23 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Mon Jul 18 2022 15:36:15 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Mon Jul 18 2022 15:43:44 GMT-0400 (Eastern Daylight Time)

::1 - - [26/Jul/2022:14:06:24 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:06:31 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:09:22 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:44:14 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:44:27 +0000] "GET /users HTTP/1.1" 201 659 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:49:24 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:52:11 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:52:12 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:52:12 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:52:12 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:52:13 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:55:39 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:55:47 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:15:56:33 +0000] "GET /users HTTP/1.1" 201 659 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:00:16 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:15:24 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:17:06 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:17:44 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:19:20 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:19:39 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:21:57 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:23:06 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:24:30 +0000] "POST /users HTTP/1.1" 400 22 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:28:12 +0000] "POST /users HTTP/1.1" 400 22 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:29:05 +0000] "POST /users HTTP/1.1" 400 25 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:29:44 +0000] "POST /users HTTP/1.1" 400 26 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:30:02 +0000] "POST /users HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:30:28 +0000] "GET /users HTTP/1.1" 201 659 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:33:26 +0000] "DELETE /users HTTP/1.1" 404 147 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:33:47 +0000] "DELETE /users/:hotDog HTTP/1.1" 200 22 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:34:41 +0000] "DELETE /users/:hotdog HTTP/1.1" 200 22 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:35:20 +0000] "DELETE /users/:hotdog HTTP/1.1" 200 20 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:35:26 +0000] "DELETE /users/hotdog HTTP/1.1" 200 19 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:36:03 +0000] "GET /users/ HTTP/1.1" 201 2 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:36:12 +0000] "POST /users/ HTTP/1.1" 500 156 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:37:41 +0000] "POST /users/ HTTP/1.1" 500 52 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:37:59 +0000] "POST /users/ HTTP/1.1" 201 171 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:38:05 +0000] "GET /users/ HTTP/1.1" 201 173 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:38:54 +0000] "GET /books HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:16:57:22 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:00:49 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:01:12 +0000] "GET /books/:noise HTTP/1.1" 500 15 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:01:52 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:02:11 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:02:15 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:02:58 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:04:20 +0000] "GET /books/noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:04:25 +0000] "GET /books/noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:04:27 +0000] "GET /books/noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:04:43 +0000] "GET /books/noise HTTP/1.1" 404 150 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:04:47 +0000] "GET /books/noise HTTP/1.1" 404 150 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:05:03 +0000] "GET /books/:noise HTTP/1.1" 404 151 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:05:13 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:05:34 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:06:21 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:02 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:21 +0000] "GET /books/:the%20black%20swan HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:41 +0000] "GET /books/:the%20black%20swan HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:42 +0000] "GET /books/:the%20black%20swan HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:43 +0000] "GET /books/:the%20black%20swan HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:43 +0000] "GET /books/:the%20black%20swan HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:07:50 +0000] "GET /books/ HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:08:27 +0000] "GET /books/genre/nonfiction HTTP/1.1" 200 389 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:09:04 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:09:47 +0000] "GET /books/author/:nassim%20nicholas%20taleb HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:11:17 +0000] "GET /books/title/:noise HTTP/1.1" 404 157 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:11:45 +0000] "GET /books/:title/noise HTTP/1.1" 404 157 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:12:34 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:15:41 +0000] "GET /books/author/:james+duane HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:16:25 +0000] "GET /books/author/:james+duane HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:16:52 +0000] "GET /books/author/:james+duane HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:20:02 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:20:27 +0000] "GET /books/:noise HTTP/1.1" 500 15 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:20:41 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:21:34 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:21:54 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:21:55 +0000] "GET /books/:noise HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:21:59 +0000] "GET /books HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:22:28 +0000] "GET /books/genre:/philosophy HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:22:36 +0000] "GET /books/genre/:philosophy HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:23:43 +0000] "GET /books/philosophy HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:24:22 +0000] "GET /books/philosophy HTTP/1.1" 500 65 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:24:30 +0000] "GET /books/genre/:philosophy HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:24:50 +0000] "GET /books/genre/:philosophy HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:25:12 +0000] "GET /books/genre/:philosophy HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:25:39 +0000] "GET /books/genre/:philosophy HTTP/1.1" 500 65 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:26:39 +0000] "GET /books/genre/:philosophy HTTP/1.1" 500 65 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:30:35 +0000] "GET /books/genre/:philosophy HTTP/1.1" 500 65 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:31:02 +0000] "GET /books/genre/:philosophy HTTP/1.1" 500 15 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:31:18 +0000] "GET /books/genre/:philosophy HTTP/1.1" 500 65 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:31:38 +0000] "GET /books/genre/:philosophy HTTP/1.1" 200 4 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:31:59 +0000] "GET /books/genre/:philosophy HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:32:03 +0000] "GET /books/genre/philosophy HTTP/1.1" 404 161 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:17:33:36 +0000] "GET /books/genre/philosophy HTTP/1.1" 404 161 "-" "PostmanRuntime/7.29.2"
